,SL.,COMPANY,CODE,VOLUME,CLOSE PRICE,TURNOVER,NUMBER OF TRADE,DATE
0,1,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-31 00:00:00
1,2,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-28 00:00:00
2,3,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-27 00:00:00
3,4,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-26 00:00:00
4,5,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-25 00:00:00
5,6,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-24 00:00:00
6,7,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-21 00:00:00
7,8,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-20 00:00:00
8,9,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-19 00:00:00
9,10,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-18 00:00:00
10,11,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-17 00:00:00
11,12,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-14 00:00:00
12,13,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-13 00:00:00
13,14,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-12 00:00:00
14,15,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-07 00:00:00
15,16,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-06 00:00:00
16,17,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-05 00:00:00
17,18,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-04 00:00:00
18,19,02 YEARS BGTB 08072022,T02Y0722,0,102.5,0.0,0,2022-07-03 00:00:00
19,20,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-31 00:00:00
20,21,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-28 00:00:00
21,22,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-27 00:00:00
22,23,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-26 00:00:00
23,24,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-25 00:00:00
24,25,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-24 00:00:00
25,26,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-21 00:00:00
26,27,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-20 00:00:00
27,28,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-19 00:00:00
28,29,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-18 00:00:00
29,30,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-17 00:00:00
30,31,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-14 00:00:00
31,32,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-13 00:00:00
32,33,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-12 00:00:00
33,34,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-07 00:00:00
34,35,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-06 00:00:00
35,36,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-05 00:00:00
36,37,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-04 00:00:00
37,38,10 YEARS BGTB 15022022,T10Y0222,0,102.76,0.0,0,2022-07-03 00:00:00
38,39,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-31 00:00:00
39,40,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-28 00:00:00
40,41,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-27 00:00:00
41,42,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-26 00:00:00
42,43,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-25 00:00:00
43,44,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-24 00:00:00
44,45,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-21 00:00:00
45,46,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-20 00:00:00
46,47,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-19 00:00:00
47,48,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-18 00:00:00
48,49,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-17 00:00:00
49,50,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-14 00:00:00
50,51,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-13 00:00:00
51,52,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-12 00:00:00
52,53,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-07 00:00:00
53,54,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-06 00:00:00
54,55,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-05 00:00:00
55,56,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-04 00:00:00
56,57,10 YEARS BGTB 20012026,T10Y0126,0,111.5,0.0,0,2022-07-03 00:00:00
57,58,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-31 00:00:00
58,59,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-28 00:00:00
59,60,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-27 00:00:00
60,61,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-26 00:00:00
61,62,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-25 00:00:00
62,63,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-24 00:00:00
63,64,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-21 00:00:00
64,65,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-20 00:00:00
65,66,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-19 00:00:00
66,67,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-18 00:00:00
67,68,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-17 00:00:00
68,69,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-14 00:00:00
69,70,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-13 00:00:00
70,71,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-12 00:00:00
71,72,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-07 00:00:00
72,73,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-06 00:00:00
73,74,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-05 00:00:00
74,75,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-04 00:00:00
75,76,10 YEARS BGTB 20072026,T10Y0726,0,108.9,0.0,0,2022-07-03 00:00:00
76,77,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.4,0.0,0,2022-07-31 00:00:00
77,78,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.4,0.0,0,2022-07-28 00:00:00
78,79,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.4,0.0,0,2022-07-27 00:00:00
79,80,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.4,0.0,0,2022-07-26 00:00:00
80,81,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.4,0.0,0,2022-07-25 00:00:00
81,82,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,1500,10.4,15600.0,1,2022-07-24 00:00:00
82,83,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.6,0.0,0,2022-07-21 00:00:00
83,84,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.6,0.0,0,2022-07-20 00:00:00
84,85,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.6,0.0,0,2022-07-19 00:00:00
85,86,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.6,0.0,0,2022-07-18 00:00:00
86,87,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,165,10.6,1749.0,1,2022-07-17 00:00:00
87,88,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.8,0.0,0,2022-07-14 00:00:00
88,89,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.8,0.0,0,2022-07-13 00:00:00
89,90,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.8,0.0,0,2022-07-12 00:00:00
90,91,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,1,10.8,10.8,1,2022-07-07 00:00:00
91,92,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.8,0.0,0,2022-07-06 00:00:00
92,93,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.8,0.0,0,2022-07-05 00:00:00
93,94,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,0,10.8,0.0,0,2022-07-04 00:00:00
94,95,1ST SCHEME OF RELIANCE INS. MF,RELIANCE1,38,10.8,410.4,1,2022-07-03 00:00:00
95,96,AAMRA NETWORKS LIMITED,AAMRANET,7111,38.2,271640.2,9,2022-07-31 00:00:00
96,97,AAMRA NETWORKS LIMITED,AAMRANET,1991,37.4,74463.4,6,2022-07-28 00:00:00
97,98,AAMRA NETWORKS LIMITED,AAMRANET,6800,38.1,259280.0,9,2022-07-27 00:00:00
98,99,AAMRA NETWORKS LIMITED,AAMRANET,4925,38.0,191102.0,17,2022-07-26 00:00:00
99,100,AAMRA NETWORKS LIMITED,AAMRANET,1480,38.5,56876.0,3,2022-07-25 00:00:00
100,101,AAMRA NETWORKS LIMITED,AAMRANET,1300,38.8,50440.0,5,2022-07-24 00:00:00
101,102,AAMRA NETWORKS LIMITED,AAMRANET,2602,39.5,99181.0,13,2022-07-21 00:00:00
102,103,AAMRA NETWORKS LIMITED,AAMRANET,15441,38.7,595738.2,16,2022-07-20 00:00:00
103,104,AAMRA NETWORKS LIMITED,AAMRANET,4060,38.6,156716.0,16,2022-07-19 00:00:00
104,105,AAMRA NETWORKS LIMITED,AAMRANET,11874,39.3,466808.2,17,2022-07-18 00:00:00
